"LeftTag","LeftMaster","Date","Year","Ranch","Part","Sex.x","Age","Xloc","Yloc","AdjWt","HindFootLength","BodyLength","BCS","Lactation","RumpFat","Arrival_Time","Fecal","AnnualRain","rain_1month_Previous","rain_2month_Previous","rain_3month_Previous","rain_April","rain_March_April","rain_March_July","rain_July_August","Percent_Sand","AnnualBiomass","WoodyCover","Capt_Loc"
5220,"5220",2015-11-07,2015,"SAV","W",FALSE,6.5,511630,2982487,46.719976,13.75,57.375,2,"Yes - Lactating",NA,"10:23",312.3632024,718.584045410156,147.18499756325,187.238998311455,198.282998147304,120.804999679327,251.360998302698,449.818999364972,3.78899995982647,51.2760535021704,2970.93042960559,41.9884842892062,"SAVW"
5226,"5226",2015-11-07,2015,"SAV","W",FALSE,2.5,511451.047,2982072.139,NA,13.75,54.5,5,"Yes - Lactating",NA,"10:28",394.6169808,718.584045410156,147.18499756325,187.238998311455,198.282998147304,120.804999679327,251.360998302698,449.818999364972,3.78899995982647,51.5264442021948,2998.31360683227,41.0812518941761,"SAVW"
5228,"5228",2015-11-07,2015,"SAV","W",FALSE,5.5,511548.1991,2982194.727,47.173568,14,54.75,2,"Yes - Lactating",NA,"10:28",356.8978957,718.584045410156,147.18499756325,187.238998311455,198.282998147304,120.804999679327,251.360998302698,449.818999364972,3.78899995982647,51.4959655316686,2957.17516637135,41.8900547966835,"SAVW"
5234,"5234",2015-11-07,2015,"SAV","W",FALSE,6.5,511067.4422,2981851.274,47.173568,14.875,56.75,1,"Yes - Lactating",NA,"10:47",309.085482,718.584045410156,147.18499756325,187.238998311455,198.282998147304,120.804999679327,251.360998302698,449.818999364972,3.78899995982647,51.5745388263606,2515.52658385576,50.6638918713999,"SAVW"
5240,"5240",2015-11-07,2015,"SAV","W",FALSE,5.5,513041,2982009,45.812792,14.25,55.5,2,"Yes - Lactating",NA,"12:43",462.4026833,718.584045410156,147.18499756325,187.238998311455,198.282998147304,120.804999679327,251.360998302698,449.818999364972,3.78899995982647,50.591406039541,3339.1104678572,27.3914262846425,"SAVW"
5251,"5251",2015-11-07,2015,"SAV","W",FALSE,6.5,511628.4722,2980502.187,49.89512,14,55.75,2,"Yes - Lactating",NA,"13:05",420.6275391,718.584045410156,147.18499756325,187.238998311455,198.282998147304,120.804999679327,251.360998302698,449.818999364972,3.78899995982647,50.0629283977322,1478.86787638915,61.0737958496775,"SAVW"
1261,"1261-7990",2016-11-05,2016,"ES","W",FALSE,5.5,652579.4768,2937610.081,44.905608,13.75,54.125,4.5,"No - Not lactating",NA,"10:22",211.5062027,562.857055664062,7.47400027513505,85.7170008402318,159.453001176938,33.3209999650717,74.3930008391617,274.790001167799,31.4830004884861,58.8679803682223,3133.08647696221,27.1363640376886,"ES"
1343,"1343",2016-11-05,2016,"ES","W",FALSE,5.5,652664.8092,2935472.819,47.62716,14.125,56.5,4,"No - Not lactating",NA,"11:39",90.78746467,562.857055664062,7.47400027513505,85.7170008402318,159.453001176938,33.3209999650717,74.3930008391617,274.790001167799,31.4830004884861,62.4665638971754,3318.22089747564,24.8508296678772,"ES"
2295,"2295",2016-11-05,2016,"ES","W",FALSE,6.5,652661.6365,2935413.064,36.740952,13.75,55.375,2,"No - Not lactating",NA,"11:39",92.46717957,562.857055664062,7.47400027513505,85.7170008402318,159.453001176938,33.3209999650717,74.3930008391617,274.790001167799,31.4830004884861,62.4801453311529,3269.36028751105,25.162696854077,"ES"
3142,"3142",2016-11-05,2016,"ES","W",FALSE,6.5,649890.2768,2936938.074,37.194544,14,55.625,3,"No - Not lactating",NA,"14:29",309.0228847,612.580017089844,5.16999988059979,74.6329991592793,160.959000263014,39.655000641942,85.7970014363528,329.202007232118,46.3910005798098,70.0004961179277,3274.4820482026,23.4344233536863,"ES"
3439,"3439",2016-11-05,2016,"ES","W",FALSE,6.5,651602.5057,2934686.958,29.48348,13.25,52,2.5,"No - Not lactating",NA,"15:07",131.8490094,581.487138367537,7.29127380224869,80.1706979600879,157.778009224147,35.5092963765669,78.9774874816393,296.145211034663,38.4525750341024,60.571227577298,2736.62290497883,32.3276307234557,"ES"
3484,"3484",2016-11-05,2016,"ES","W",FALSE,6.5,650279.9815,2936473.234,32.205032,13.375,55.375,2,"Yes - Lactating",NA,NA,121.8434079,612.580017089844,5.16999988059979,74.6329991592793,160.959000263014,39.655000641942,85.7970014363528,329.202007232118,46.3910005798098,68.0893876062657,3624.29560823432,23.0855258900939,"ES"
5613,"5613",2016-11-05,2016,"ES","W",FALSE,2.5,652086.9422,2934488.637,31.978236,13.5,50.25,4,"No - Not lactating",NA,"15:07",184.0228267,559.177312785643,9.10702686525626,83.4810681732149,155.707008344802,32.56748688792,74.4894351030948,272.967462466303,34.2349628064729,61.54521815015,3426.90368720522,28.2664448010654,"ES"
5617,"5617",2016-11-05,2016,"ES","W",FALSE,6.5,651651.5637,2934508.613,40.596484,14,55.875,5,"No - Not lactating",NA,"15:07",242.0146184,576.307650992114,8.24622242637597,79.8567106887585,155.358895333353,34.6638706910245,78.1377303393585,291.503950080932,38.4210524241626,59.6800477383577,2587.86527166653,34.7952429305436,"ES"
5624,"5624",2016-11-05,2016,"ES","W",FALSE,1.5,650011.267,2936639.474,34.472992,13.75,49.375,5,"No - Not lactating",NA,"14:39",99.70264724,612.580017089844,5.16999988059979,74.6329991592793,160.959000263014,39.655000641942,85.7970014363528,329.202007232118,46.3910005798098,69.159556883798,3554.82003843169,23.1492372834026,"ES"
5844,"5844",2016-11-05,2016,"ES","W",FALSE,1.5,650317.3947,2936232.373,30.390664,13.25,48.25,4,"No - Not lactating",NA,"13:41",138.880086,612.580017089844,5.16999988059979,74.6329991592793,160.959000263014,39.655000641942,85.7970014363528,329.202007232118,46.3910005798098,66.6846920031658,3612.92950700125,22.6013114445559,"ES"
5846,"5846",2016-11-05,2016,"ES","W",FALSE,5.5,649847.2307,2936623.81,36.740952,13.5,56.75,4.5,"No - Not lactating",NA,"14:07",339.1499132,612.580017089844,5.16999988059979,74.6329991592793,160.959000263014,39.655000641942,85.7970014363528,329.202007232118,46.3910005798098,69.1548518947528,3255.51730353264,23.3921120138146,"ES"
1269,"1269",2016-11-04,2016,"ES",NA,FALSE,5.5,653563.2482,2939563.739,43.771628,14,55.25,3.5,"No - Not lactating",NA,"15:52",84.07816383,547.367322997172,4.14018686411549,86.7326752797569,145.932594307204,25.3081571106752,65.1172743669701,277.235217107402,31.7962346769615,54.8358779227502,2511.17236803402,31.5146300283978,"ES"
2128,"2128",2016-11-04,2016,"ES",NA,FALSE,6.5,653690.5759,2939249.181,43.998424,13.125,53.675,5,"No - Not lactating",NA,"15:30",230.9883885,550.342423380309,4.65777748935587,86.4148633032298,148.406715671458,26.847177335155,66.8988556230673,276.765566466219,31.7360720405761,55.0162555230983,2829.37114746059,35.384985215975,"ES"
5008,"4313-5008",2016-11-04,2016,"ES",NA,FALSE,5.5,652290.3616,2944435.754,54.884632,14.5,57.125,4.5,"No - Not lactating",NA,"14:34",57.63363312,528.981018066406,4.28000001912005,91.6840011358727,139.141000676202,22.8130004405975,61.5979992030189,263.518998094485,36.2089996765135,58.9585267574779,4073.12463383517,20.6216427373379,"ES"
5722,"5722",2016-11-04,2016,"ES",NA,FALSE,4.5,655173.4491,2942279.614,35.380176,15.125,52.25,4,"No - Not lactating",NA,"11:34",123.2149282,545.153628360121,4.26430151906337,87.729076523433,146.575081091336,24.8419701241668,64.6839747529962,273.301942545683,31.3814348415756,60.6981146911029,1012.5661582385,18.0077811648578,"ES"
